Имя	Код	Должность
Королева К.Г.	3	Инженер-конструктор
Быкова Е.К.	19	Инженер-технолог
Попова А.Р.	4	Инженер-технолог
Муравьева Е.Д.	11	Инженер-технолог
Игнатьева Ф.М.	14	Инженер-программист
Чистяков А.Р.	7	Инженер-программист
Петров Р.С.	1	Инженер-конструктор
Гончаров Г.А.	10	Инженер-технолог
Иванов П.В 	2	Инженер-технолог
Сахаров Е.Б.	8	Инженер-технолог
Кузнецов В.Г.	15	Инженер-технолог
Панин А.Ф.	9	Инженер-технолог 
Киреев Д.Г.	12 	Инженер-программист
Кузнецов В.Г.	13	Инженер-программист
Волков Г.С.	5	Инженер-технолог
Мухина В.Н.	6	Инженер-технолог
Игнатьева Ф.М.	16	Инженер-технолог
Жаров Л.А.	17	Инженер-технолог
Полякова Т.Г.	18	Инженер-технолог
